Number,Total,HDBDwellings_Total,HDBDwellings_1_and2_RoomFlats1,HDBDwellings_3_RoomFlats,HDBDwellings_4_RoomFlats,HDBDwellings_5_RoomandExecutiveFlats,CondominiumsandOtherApartments,LandedProperties,Others
Total,4044210,3152410,177360,575200,1338370,1061480,607940,248860,35000
Ang Mo Kio - Total,162280,131020,10720,55910,43030,21370,13980,15880,1390
Ang Mo Kio Town Centre,4810,2830,-,400,630,1800,1950,-,30
Cheng San,28070,27970,970,13290,8810,4900,-,-,100
Chong Boon,26500,26000,1470,12180,8560,3790,-,-,500
Kebun Bahru,22620,19610,1590,10240,5620,2170,1670,1100,240
Sembawang Hills,6850,-,-,-,-,-,280,6500,70
Shangri-La,15960,15620,2680,6070,5140,1730,-,280,50
Tagore,7950,-,-,-,-,-,2510,5260,180
Townsville,21140,21080,1350,6450,9440,3850,-,-,60
Yio Chu Kang,20,-,-,-,-,-,-,-,-
Yio Chu Kang East,4200,-,-,-,-,-,1820,2280,110
Yio Chu Kang North,-,-,-,-,-,-,-,-,-
Yio Chu Kang West,24150,17900,2660,7280,4830,3140,5750,460,50
Bedok - Total,276990,175620,9630,54710,66310,44970,54850,43870,2650
Bayshore,7450,-,-,-,-,-,6920,410,130
Bedok North,81840,71560,4460,30850,25570,10690,5440,4380,460
Bedok Reservoir,25470,17440,-,2840,8320,6270,7930,50,40
Bedok South,46690,27720,1510,7920,11540,6750,7170,11400,410
Frankel,34490,-,-,-,-,-,15090,18850,550
Kaki Bukit,37150,35390,480,5900,14590,14420,910,710,130
Kembangan,37460,23510,3180,7200,6290,6840,5040,8070,850
Siglap,6440,-,-,-,-,-,6360,-,90
Bishan - Total,87320,59350,1140,4920,28160,25130,16880,10390,700
Bishan East,28310,24840,260,1870,10590,12120,3140,-,330
Marymount,29620,22460,-,-,13670,8790,4270,2790,100
Upper Thomson,29390,12050,880,3050,3910,4220,9470,7600,270
Boon Lay - Total,40,-,-,-,-,-,-,-,-
Liu Fang,10,-,-,-,-,-,-,-,-
Samulun,10,-,-,-,-,-,-,-,-
Shipyard,-,-,-,-,-,-,-,-,-
Tukang,10,-,-,-,-,-,-,-,-
Bukit Batok - Total,158030,124750,6050,28300,56090,34310,26500,5760,1030
Brickworks,19820,19810,3940,2480,8340,5040,-,-,10
Bukit Batok Central,27290,25850,1340,3860,12310,8340,1400,-,40
Bukit Batok East,12690,12560,-,5650,4850,2060,-,-,140
Bukit Batok South,14930,13080,-,400,6450,6220,1180,640,40
Bukit Batok West,15000,14960,-,5160,5970,3830,-,-,40
Gombak,9930,6190,-,-,3640,2540,690,2970,80
Guilin,12940,7650,-,3250,2180,2220,5050,-,240
Hillview,19300,-,-,-,-,-,16920,2150,230
Hong Kah North,26150,24680,770,7500,12360,4050,1250,-,230
Bukit Merah - Total,151250,135050,21550,35250,48210,30040,14160,460,1600
Alexandra Hill,13490,13050,3770,2460,3730,3090,-,-,450
Alexandra North,2620,-,-,-,-,-,2620,-,-
Bukit Ho Swee,14390,13780,3540,5250,3140,1850,530,-,80
Bukit Merah,1110,1080,-,150,10,930,-,-,30
City Terminals,20,-,-,-,-,-,-,-,-
Depot Road,6540,4570,150,330,2080,2010,1970,-,-
Everton Park,7810,7170,420,1550,2010,3190,380,180,80
Henderson Hill,13320,13100,3680,4260,3870,1290,190,-,30
Kampong Tiong Bahru,9010,8840,1960,3930,1810,1150,-,-,170
Maritime Square,3620,-,-,-,-,-,3160,80,380
Redhill,10620,8490,1920,360,3030,3190,2020,-,110
Singapore General Hospital,10,-,-,-,-,-,-,-,-
Telok Blangah Drive,19320,18750,1550,5190,8580,3430,510,10,50
Telok Blangah Rise,12150,11130,840,3950,5220,1130,780,170,70
Telok Blangah Way,9230,9180,1710,4390,1570,1500,-,-,50
Tiong Bahru,12890,12110,390,2740,6280,2700,690,10,80
Tiong Bahru Station,15120,13810,1620,700,6890,4590,1290,-,20
Bukit Panjang - Total,138270,115840,2400,9840,55310,48290,19050,3190,190
