Planning_Area,Population
Ang Mo Kio,162280
Bedok,276990
Bishan,87320
Boon Lay,40
Bukit Batok,158030
Bukit Merah,151250
Bukit Panjang,138270
Bukit Timah,77860
Changi- Total,1850
Choa Chu Kang,192070
Clementi,91990
Downtown Core,3190
Geylang,110110
Hougang,227560
Jurong East,78600
Jurong West,262730
Kallang,101290
Lim Chu Kang,110
Mandai,2090
Marine Parade,46220
Museum,510
Newton,8260
North-Eastern Islands,50
Novena,49330
Orchard,920
Outram,18340
Pasir Ris,147110
Paya Lebar,40
Pioneer,80
Punggol,174450
Queenstown,95930
River Valley,10070
Rochor,13120
Seletar,300
Sembawang,102640
Sengkang,249370
Serangoon,116900
Singapore River,3260
Southern Islands,1940
Sungei Kadut,750
Tampines,259900
Tanglin,21810
Tengah,10
Toa Payoh,121850
Tuas,70
Western Islands,10
Western Water Catchment,640
Woodlands,255130
Yishun,221610
